year,geo_abr,geo_name,question,value,topic,unit,break_out,indicator
2012,CO,Colorado,"Number of health agencies serving jurisdictions of 250,000+ population",2,Leadership,agencies,With a dental program,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program"
2012,WV,West Virginia,Statutory requirement or authority,Yes,Leadership,,For state dental director,Statutory requirement or authority: For state dental director
2014,GA,Georgia,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,24,Staff,FTE,Directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Directly supervised by state health agency staff
2020,MD,Maryland,Requirement or mandate for a dental health screening or certificate at school entry,No,Policies,,,Requirement or mandate for a dental health screening or certificate at school entry
2013,OR,Oregon,"Statewide, broad-based oral health coalition",,Leadership,,,"Statewide, broad-based oral health coalition"
2020,MD,Maryland,Prevention Programs,Yes,Programs,,Early Childhood Caries (ECC) prevention programs,Prevention Programs: Early Childhood Caries (ECC) prevention programs
2011,ID,Idaho,Prevention Programs,,Programs,,School-based or school-linked sealant programs,Prevention Programs: School-based or school-linked sealant programs
2014,GA,Georgia,"Number of health agencies serving jurisdictions of 250,000+ population",4,Leadership,agencies,With a dental program directed by a dental professional,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional"
2018,UT,Utah,Special populations programs,No,Programs,,For older adults,Special populations programs: For older adults
2012,AR,Arkansas,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,0,Staff,FTE,Not directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Not directly supervised by state health agency staff
2013,NE,Nebraska,Dental director position type,,Leadership,multiple choice,,Dental director position type
2012,MA,Massachusetts,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,0,Staff,FTE,Not directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Not directly supervised by state health agency staff
2020,IA,Iowa,Prevention Programs,Yes,Programs,,School-based or school-linked sealant programs,Prevention Programs: School-based or school-linked sealant programs
2016,MD,Maryland,"Number of health agencies serving jurisdictions of 250,000+ population",8,Leadership,agencies,Total,"Number of health agencies serving jurisdictions of 250,000+ population: Total"
2017,WY,Wyoming,Statutory requirement or authority,No,Leadership,,For oral health program,Statutory requirement or authority: For oral health program
2019,SD,South Dakota,"Statewide, broad-based oral health coalition",Yes,Leadership,,,"Statewide, broad-based oral health coalition"
2017,KS,Kansas,"Number of health agencies serving jurisdictions of 250,000+ population",1,Leadership,agencies,With a dental program directed by a dental professional,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional"
2016,MS,Mississippi,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,,Staff,FTE,Total,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Total
2017,NY,New York,Current state dental director,Yes,Leadership,,,Current state dental director
2014,NJ,New Jersey,Prevention Programs,Yes,Programs,,Early Childhood Caries (ECC) prevention programs,Prevention Programs: Early Childhood Caries (ECC) prevention programs
2015,WA,Washington,"Statewide, broad-based oral health coalition",Yes,Leadership,,,"Statewide, broad-based oral health coalition"
2013,AR,Arkansas,"Number of health agencies serving jurisdictions of 250,000+ population",0,Leadership,agencies,With a dental program directed by a dental professional with graduate degree in public health,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional with graduate degree in public health"
2015,AL,Alabama,Special populations programs,No,Programs,,For older adults,Special populations programs: For older adults
2015,GA,Georgia,System for children with cleft lips/cleft palates,Yes,Programs,,System for referring children with cleft lips/cleft palates to rehabilitative teams,System for children with cleft lips/cleft palates: System for referring children with cleft lips/cleft palates to rehabilitative teams
2015,NJ,New Jersey,Prevention Programs,Yes,Programs,,Dental screening programs,Prevention Programs: Dental screening programs
2014,TX,Texas,Prevention Programs,Yes,Programs,,Fluoride varnish programs,Prevention Programs: Fluoride varnish programs
2017,SC,South Carolina,"Number of health agencies serving jurisdictions of 250,000+ population",0,Leadership,agencies,With a dental program directed by a dental professional with graduate degree in public health,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional with graduate degree in public health"
